work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior,Full-Time,Data Scientist,85847,ES,Fully Remote,ES,Large
2023,Mid-Level,Contract,Machine Learning Engineer,30000,US,Fully Remote,US,Small
2023,Mid-Level,Contract,Machine Learning Engineer,25500,US,Fully Remote,US,Small
2023,Senior,Full-Time,Data Scientist,175000,CA,Fully Remote,CA,Medium
2023,Senior,Full-Time,Data Scientist,120000,CA,Fully Remote,CA,Medium
2023,Senior,Full-Time,AI Engineer,222200,US,Onsite,US,Large
2023,Senior,Full-Time,AI Engineer,136000,US,Onsite,US,Large
2023,Senior,Full-Time,Data Scientist,219000,CA,Onsite,CA,Medium
2023,Senior,Full-Time,Data Scientist,141000,CA,Onsite,CA,Medium
2023,Senior,Full-Time,Data Scientist,147100,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,90700,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Analyst,130000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Analyst,100000,US,Fully Remote,US,Medium
2023,Entry-Level,Full-Time,AI Engineer,213660,US,Onsite,US,Large
2023,Entry-Level,Full-Time,AI Engineer,130760,US,Onsite,US,Large
2023,Senior,Full-Time,Other,147100,US,Onsite,US,Medium
2023,Senior,Full-Time,Other,90700,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,170000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,150000,US,Onsite,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,150000,US,Fully Remote,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,110000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,AI Engineer,275000,DE,Onsite,DE,Medium
2023,Senior,Full-Time,AI Engineer,174000,DE,Onsite,DE,Medium
2023,Senior,Full-Time,Data Engineer,230000,GB,Fully Remote,GB,Medium
2023,Senior,Full-Time,Data Engineer,143200,GB,Fully Remote,GB,Medium
2023,Senior,Full-Time,Data Engineer,225000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,156400,US,Onsite,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,200000,US,Onsite,US,Medium
2023,Senior,Full-Time,Machine Learning Engineer,130000,US,Onsite,US,Medium
2023,Senior,Full-Time,Other,90000,CA,Onsite,CA,Medium
2023,Senior,Full-Time,Other,72000,CA,Onsite,CA,Medium
2023,Senior,Full-Time,Data Engineer,253200,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,90700,US,Onsite,US,Medium
2023,Senior,Full-Time,AI Engineer,342810,US,Onsite,US,Medium
2023,Senior,Full-Time,AI Engineer,184590,US,Onsite,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,162500,US,Onsite,US,Medium
2023,Mid-Level,Full-Time,Data Engineer,130000,US,Onsite,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,105380,US,Onsite,US,Medium
2023,Mid-Level,Full-Time,Data Analyst,64500,US,Onsite,US,Medium
2023,Entry-Level,Full-Time,Data Analyst,100000,NG,Fully Remote,NG,Large
2023,Entry-Level,Full-Time,Data Analyst,30000,NG,Fully Remote,NG,Large
2022,Mid-Level,Full-Time,Machine Learning Engineer,20984,IN,Hybrid,IN,Large
2023,Entry-Level,Full-Time,AI Engineer,204620,US,Onsite,US,Large
2023,Entry-Level,Full-Time,AI Engineer,110680,US,Onsite,US,Large
2023,Senior,Full-Time,Data Engineer,270703,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,221484,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,212750,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,185000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,262000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,245000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,275300,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,183500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,218500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,199098,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,203300,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,123600,US,Fully Remote,US,Medium
2023,Senior,Full-Time,AI Engineer,189110,US,Onsite,US,Medium
2023,Senior,Full-Time,AI Engineer,139000,US,Onsite,US,Medium
2023,Executive,Full-Time,Data Scientist,258750,US,Onsite,US,Medium
2023,Executive,Full-Time,Data Scientist,185000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,231500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,166000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,172500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,110500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,238000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,176000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,237000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,201450,US,Fully Remote,US,Medium
2023,Senior,Full-Time,AI Engineer,309400,US,Onsite,US,Large
2023,Senior,Full-Time,AI Engineer,159100,US,Onsite,US,Large
2023,Senior,Full-Time,Data Engineer,115000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,81500,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,237000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Scientist,201450,US,Fully Remote,US,Medium
2023,Senior,Full-Time,AI Engineer,280000,US,Onsite,US,Medium
2023,Senior,Full-Time,AI Engineer,210000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Architect,280100,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Architect,168100,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,193500,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,139000,US,Fully Remote,US,Medium
2023,Mid-Level,Full-Time,Data Scientist,65062,HK,Onsite,HK,Large
2023,Senior,Full-Time,Machine Learning Engineer,150000,PT,Fully Remote,US,Medium
2023,Mid-Level,Full-Time,Machine Learning Engineer,69751,IN,Fully Remote,DE,Small
2022,Entry-Level,Full-Time,AI Engineer,300000,IN,Hybrid,IN,Large
2023,Mid-Level,Full-Time,Machine Learning Engineer,96578,NL,Fully Remote,NL,Large
2023,Senior,Full-Time,Data Engineer,185900,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,129300,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,225000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,175000,US,Fully Remote,US,Medium
2023,Senior,Full-Time,Data Engineer,185000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Engineer,140000,US,Onsite,US,Medium
2023,Senior,Full-Time,Data Scientist,48289,ES,Onsite,ES,Medium
2023,Senior,Full-Time,Data Scientist,38631,ES,Onsite,ES,Medium
